ID,platform,title,score,audience_score,director,release,genre,subgenre,url
1,Netflix,The Irishman,98,86,Martin Scorsese,2019,Drama,Crime,https://www.rottentomatoes.com/m/the_irishman
2,Netflix,Dangal,97,90,Nitesh Tiwari,2016,Sports,Coming of Age,https://www.rottentomatoes.com/m/dangal
3,Netflix,David Attenborough: A Life on Our Planet,95,97,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",2020,Documentary,Nature,https://www.rottentomatoes.com/m/david_attenborough_a_life_on_our_planet
4,Netflix,The Social Dilemma,93,87,Jeff Orlowski,2020,Documentary,Science & Technology,https://www.rottentomatoes.com/m/the_social_dilemma
5,Netflix,Okja,92,83,Bong Joon Ho,2017,Sci-Fi & Fantasy,Animals,https://www.rottentomatoes.com/m/okja
6,Netflix,The Ballad of Buster Scruggs,92,78,"Joel Coen, Ethan Coen",2018,Western,Cult Movies,https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs
7,Netflix,The Trial of the Chicago 7,92,89,Aaron Sorkin,2020,Drama,Historical Drama,https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7
8,Netflix,Article 15,92,77,Anubhav Sinha,2019,International,Black Stories,https://www.rottentomatoes.com/m/article_15
9,Netflix,Dolemite Is My Name,92,87,Craig Brewer,2019,Comedy,Cult Movies,https://www.rottentomatoes.com/m/dolemite_is_my_name
10,Netflix,Mudbound,91,82,Dee Rees,2017,Drama,Black Stories,https://www.rottentomatoes.com/m/mudbound
11,Netflix,Swades,91,94,Ashutosh Gowariker,2004,Drama,Coming of Age,https://www.rottentomatoes.com/m/swades_our_country
12,Netflix,Miss Americana,90,88,Lana Wilson,2020,Documentary,Faith & Spirituality,https://www.rottentomatoes.com/m/miss_americana
13,Netflix,Virunga,90,91,Orlando von Einsiedel,2014,Documentary,Nature,https://www.rottentomatoes.com/m/virunga
14,Netflix,Black Friday,90,91,Anurag Kashyap,2004,Drama,Crime,https://www.rottentomatoes.com/m/black_friday
15,Netflix,The King,90,70,David Michôd,2019,Drama,Historical Drama,https://www.rottentomatoes.com/m/the_king
16,Netflix,John Mulaney: Kid Gorgeous at Radio City,89,97,Alex Timbers,2018,Comedy,Stand Up,https://www.rottentomatoes.com/m/john_mulaney_kid_gorgeous_at_radio_city
17,Netflix,I Am Mother,89,84,Grant Sputore,2019,Sci-Fi & Fantasy,Sci-Fi,https://www.rottentomatoes.com/m/i_am_mother
18,Netflix,Tell Me Who I Am,89,87,Ed Perkins,2019,Documentary,Coming of Age,https://www.rottentomatoes.com/m/tell_me_who_i_am
19,Netflix,The Departed,89,94,Martin Scorsese,2006,Thriller,Crime,https://www.rottentomatoes.com/m/departed/
20,Netflix,Winter on Fire: Ukraine's Fight for Freedom,89,94,Evgeny Afineevsky,2015,Documentary,History,https://www.rottentomatoes.com/m/winter_on_fire_ukraines_fight_for_freedom
21,Netflix,I Lost My Body,89,84,Jérémy Clapin,2019,Animation,Coming of Age,https://www.rottentomatoes.com/m/i_lost_my_body
22,Netflix,Django Unchained,89,91,Quentin Tarantino,2012,Western,Black Stories,https://www.rottentomatoes.com/m/django_unchained/
23,Netflix,The Boy Who Harnessed the Wind,89,89,Chiwetel Ejiofor,2019,Drama,Coming of Age,https://www.rottentomatoes.com/m/the_boy_who_harnessed_the_wind
24,Netflix,The Fundamentals of Caring,89,85,Rob Burnett,2016,Comedy,Coming of Age,https://www.rottentomatoes.com/m/the_fundamentals_of_caring/
25,Netflix,Pieces of a Woman,88,73,Kornél Mundruczó,2020,Drama,Coming of Age,https://www.rottentomatoes.com/m/pieces_of_a_woman
26,Netflix,Gerald's Game,88,73,Mike Flanagan,2017,Horror & Suspense,Survival,https://www.rottentomatoes.com/m/geralds_game/
27,Netflix,On Body and Soul,88,84,Ildiko Enyedi,2017,Romance,Arthouse,https://www.rottentomatoes.com/m/on_body_and_soul
28,Netflix,Shutter Island,88,81,Martin Scorsese,2010,Horror & Suspense,Mystery,https://www.rottentomatoes.com/m/shutter_island/
29,Netflix,Always Be My Maybe,88,85,Dan Villegas,2016,Romance,Romantic Comedy,https://www.rottentomatoes.com/m/always_be_my_maybe
30,Netflix,The Intouchables,88,91,"Olivier Nakache, Éric Toledano",2011,Drama,Coming of Age,https://www.rottentomatoes.com/m/the_intouchables
31,Netflix,Bill Burr: Paper Tiger,87,96,Mike Binder,2019,Comedy,Stand Up,https://www.rottentomatoes.com/m/bill_burr_paper_tiger
32,Netflix,Special 26,87,85,Neeraj Pandey,2013,Thriller,Crime,https://www.rottentomatoes.com/m/special_26
33,Netflix,Kiss the Ground,87,91,"Joshua Tickell, Rebecca Harrell Tickell",2020,Documentary,Nature,https://www.rottentomatoes.com/m/kiss_the_ground
34,Netflix,Crip Camp: A Disability Revolution,87,86,,2020,Documentary,Special Interest,https://www.rottentomatoes.com/m/crip_camp_a_disability_revolution
