ID,title,score,director,release,genre,subgenre,platform
1,The Irishman,98,Martin Scorsese,2019,,,Netflix
2,Dangal,97,Nitesh Tiwari,2016,,,Netflix
3,David Attenborough: A Life on Our Planet,95,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",2020,,,Netflix
4,The Social Dilemma,93,Jeff Orlowski,2020,,,Netflix
5,Okja,92,Bong Joon Ho,2017,,,Netflix
6,The Ballad of Buster Scruggs,92,"Joel Coen, Ethan Coen",2018,,,Netflix
7,The Trial of the Chicago 7,92,Aaron Sorkin,2020,,,Netflix
8,Article 15,92,Anubhav Sinha,2019,,,Netflix
9,Dolemite Is My Name,92,Craig Brewer,2019,,,Netflix
10,Mudbound,91,Dee Rees,2017,,,Netflix
11,Swades,91,Ashutosh Gowariker,2004,,,Netflix
12,Miss Americana,90,Lana Wilson,2020,,,Netflix
13,Virunga,90,Orlando von Einsiedel,2014,,,Netflix
14,Black Friday,90,Anurag Kashyap,2004,,,Netflix
15,The King,90,David Michôd,2019,,,Netflix
16,John Mulaney: Kid Gorgeous at Radio City,89,Alex Timbers,2018,,,Netflix
17,I Am Mother,89,Grant Sputore,2019,,,Netflix
18,Tell Me Who I Am,89,Ed Perkins,2019,,,Netflix
19,The Departed,89,Martin Scorsese,2006,,,Netflix
20,Winter on Fire: Ukraine's Fight for Freedom,89,Evgeny Afineevsky,2015,,,Netflix
21,I Lost My Body,89,Jérémy Clapin,2019,,,Netflix
22,Django Unchained,89,Quentin Tarantino,2012,,,Netflix
23,The Boy Who Harnessed the Wind,89,Chiwetel Ejiofor,2019,,,Netflix
24,The Fundamentals of Caring,89,Rob Burnett,2016,,,Netflix
25,Pieces of a Woman,88,Kornél Mundruczó,2020,,,Netflix
26,Gerald's Game,88,Mike Flanagan,2017,,,Netflix
27,On Body and Soul,88,Ildiko Enyedi,2017,,,Netflix
28,Shutter Island,88,Martin Scorsese,2010,,,Netflix
29,Always Be My Maybe,88,Dan Villegas,2016,,,Netflix
30,The Intouchables,88,"Olivier Nakache, Éric Toledano",2011,,,Netflix
31,Bill Burr: Paper Tiger,87,Mike Binder,2019,,,Netflix
32,Special 26,87,Neeraj Pandey,2013,,,Netflix
33,Kiss the Ground,87,"Joshua Tickell, Rebecca Harrell Tickell",2020,,,Netflix
34,Crip Camp: A Disability Revolution,87,,2020,,,Netflix
35,Extraction,87,Steven C. Miller,2015,,,Netflix
36,No Direction Home: Bob Dylan,87,Martin Scorsese,2005,,,Netflix
37,Kabhi Khushi Kabhie Gham,87,Karan Johar,2001,,,Netflix
38,Kabhi Khushi Kabhie Gham,87,Karan Johar,2001,,,Amazon Prime
39,His House,87,Remi Weekes,2020,,,Netflix
40,Super Deluxe,87,Thiagarajan Kumararaja,2019,,,Netflix
41,A Secret Love,87,Chris Bolan,2020,,,Netflix
42,The Night Comes for Us,87,Timo Tjahjanto,2018,,,Netflix
43,Pad Man,87,R. Balki,2018,,,Netflix
44,American Factory,86,"Steven Bognar, Julia Reichert",2019,,,Netflix
45,Bird Box,86,Susanne Bier,2018,,,Netflix
46,The Pianist,86,Roman Polański,2002,,,Netflix
47,3 Idiots,86,Rajkumar Hirani,2009,,,Netflix
48,The Distinguished Citizen,86,"Gastón Duprat, Mariano Cohn",2016,,,Netflix
49,A Shaun the Sheep Movie: Farmageddon,86,"Richard Phelan, Will Becher",2019,,,Netflix
50,A Clockwork Orange,86,Stanley Kubrick,1971,,,Netflix
51,What Happened to Monday,86,Tommy Wirkola,2017,,,Netflix
52,Anthony Jeselnik: Thoughts and Prayers,86,Adam Dubin,2015,,,Netflix
53,The White Helmets,86,Orlando von Einsiedel,2016,,,Netflix
54,Happy as Lazzaro,85,Alice Rohrwacher,2018,,,Netflix
55,Chasing Coral,85,Jeff Orlowski,2017,,,Netflix
56,Kal Ho Naa Ho,85,Nikkhil Advani,2003,,,Netflix
57,Kal Ho Naa Ho,85,Nikkhil Advani,2003,,,Amazon Prime
58,Pan's Labyrinth,85,Guillermo del Toro,2006,,,Netflix
59,Team Foxcatcher,85,Jon Greenhalgh,2016,,,Netflix
60,The Meyerowitz Stories (New and Selected),85,Noah Baumbach,2017,,,Netflix
61,Casino Royale,85,Martin Campbell,2006,,,Netflix
62,The Hateful Eight,85,Quentin Tarantino,2015,,,Netflix
63,Rush,84,Ron Howard,2013,,,Netflix
64,Zombieland,84,Ruben Fleischer,2009,,,Netflix
65,Eurovision Song Contest: The Story of Fire Saga,84,David Dobkin,2020,,,Netflix
66,Kapoor & Sons,84,Shakun Batra,2016,,,Netflix
67,Kapoor & Sons,84,Shakun Batra,2016,,,Amazon Prime
68,The Perfection,84,Richard Shepard,2019,,,Netflix
69,Dave Chappelle: Sticks & Stones,84,Stan Lathan,2019,,,Netflix
70,There Will Be Blood,84,Paul Thomas Anderson,2007,,,Netflix
71,Million Dollar Baby,84,Clint Eastwood,2004,,,Netflix
